rule,type,coef,support,importance
gdpuls > -89.5 & gdenergy <= -93.0,rule,0.0,0.0078125,0.0
gdenergy > -86.0 & gdpuls <= 121.5 & gdenergy <= 88.5,rule,-0.014019145508104696,0.91015625,0.004008883693741001
gdpuls <= 89.5 & gdenergy <= 100.0,rule,-0.016954062044783377,0.91796875,0.00465240358117034
gdenergy <= -87.5,rule,0.0,0.01171875,0.0
gdenergy <= -87.0,rule,0.0,0.01953125,0.0
gdenergy > -86.5 & gdenergy <= 99.0,rule,0.01811600089517136,0.9375,0.004385185610429834
gdpuls <= 54.5,rule,-0.030661217326680725,0.8984375,0.009261898559947768
gdpuls <= 54.0,rule,0.0,0.91796875,0.0
gdenergy > 14.5,rule,0.0,0.2578125,0.0
gdpuls > -81.0 & gdenergy <= 101.5 & gdenergy > 100.5,rule,0.0,0.00390625,0.0
gdenergy > 95.0 & gdpuls <= 99.5,rule,-0.19280607837147024,0.0390625,0.037354962908682746
gdenergy <= 99.5 & gdenergy <= -86.5,rule,-0.1084895235921773,0.0234375,0.016413207738690597
gdenergy <= 99.0 & gdenergy <= -86.5,rule,0.0,0.03125,0.0
gdenergy <= 99.5 & gdenergy <= -86.0,rule,0.0,0.02734375,0.0
gdpuls <= 83.5 & gdpuls > -91.5 & gdenergy > -87.5,rule,0.02244432664643387,0.90625,0.0065420856944572005
gdenergy <= 54.5 & gdpuls <= 66.5,rule,-0.07635501826549092,0.8515625,0.027146738857002774
gdenergy > 88.0 & gdpuls > 13.0 & gdenergy > -84.5 & gdpuls <= 90.0,rule,0.09600066057764506,0.01171875,0.010331304074858142
gdenergy <= 99.5 & gdpuls <= 93.0 & gdpuls <= -75.5,rule,-0.021553671469206982,0.07421875,0.005649789498210972
gdenergy <= -65.0 & gdenergy <= 4.0 & gdpuls <= -81.5,rule,0.0,0.02734375,0.0
gdenergy <= -65.5 & gdenergy <= 4.0 & gdpuls <= -81.5,rule,0.0,0.03125,0.0
gdenergy <= 99.5 & gdenergy > -83.0,rule,-0.012129783801305687,0.90625,0.003535596604587334
